Image Size,Features,C,Fold,Train Accuracy,Validation Accuracy,Balanced Accuracy,Body Recall,Face Recall,Actual Margin,Violation Proportion
"(32, 32)",1024,0.1,5,1.0,0.6470588235294118,0.6357142857142857,0.5714285714285714,0.7,3.4748204209075677,0.014285714285714285
"(32, 32)",1024,0.1,6,1.0,0.7222222222222222,0.7207792207792207,0.7142857142857143,0.7272727272727273,3.727136991193134,0.014492753623188406
"(32, 32)",1024,0.1,7,1.0,0.5555555555555556,0.5844155844155844,0.7142857142857143,0.45454545454545453,3.9118520413312607,0.014492753623188406
"(32, 32)",1024,0.1,8,1.0,0.5882352941176471,0.6071428571428572,0.7142857142857143,0.5,3.585864481784358,0.014285714285714285
"(32, 32)",1024,0.1,9,1.0,0.4117647058823529,0.37142857142857144,0.14285714285714285,0.6,3.9812452045127897,0.014285714285714285
"(32, 32)",1024,0.1,10,1.0,0.7058823529411765,0.6642857142857143,0.42857142857142855,0.9,3.4284705634188777,0.014285714285714285
"(32, 32)",1024,0.1,11,1.0,0.6111111111111112,0.577922077922078,0.42857142857142855,0.7272727272727273,3.771162446435355,0.014492753623188406
"(32, 32)",1024,0.1,12,1.0,0.6111111111111112,0.577922077922078,0.42857142857142855,0.7272727272727273,3.4334745448240667,0.014492753623188406
"(32, 32)",1024,0.1,13,1.0,0.5882352941176471,0.5857142857142856,0.5714285714285714,0.6,3.7053925034249984,0.014285714285714285
"(32, 32)",1024,0.1,14,1.0,0.5294117647058824,0.5357142857142857,0.5714285714285714,0.5,3.5815377632288117,0.014285714285714285
"(32, 32)",1024,0.1,15,1.0,0.4117647058823529,0.37142857142857144,0.14285714285714285,0.6,3.962433008976907,0.014285714285714285
"(32, 32)",1024,0.1,16,1.0,0.7222222222222222,0.6948051948051948,0.5714285714285714,0.8181818181818182,3.544909051388529,0.014492753623188406
"(32, 32)",1024,0.1,17,1.0,0.5555555555555556,0.5584415584415584,0.5714285714285714,0.5454545454545454,3.500650751203853,0.028985507246376812
"(32, 32)",1024,0.1,18,1.0,0.5882352941176471,0.6071428571428572,0.7142857142857143,0.5,3.776713468426885,0.02857142857142857
"(32, 32)",1024,0.1,19,1.0,0.4117647058823529,0.4357142857142857,0.5714285714285714,0.3,3.978070341759791,0.014285714285714285
"(32, 32)",1024,0.1,20,1.0,0.4117647058823529,0.41428571428571426,0.42857142857142855,0.4,3.7273098199318415,0.014285714285714285
"(32, 32)",1024,0.1,21,1.0,0.5555555555555556,0.6103896103896104,0.8571428571428571,0.36363636363636365,3.7026169717128057,0.014492753623188406
"(32, 32)",1024,0.1,22,1.0,0.5,0.512987012987013,0.5714285714285714,0.45454545454545453,3.813631678521158,0.014492753623188406
"(32, 32)",1024,0.1,23,1.0,0.7058823529411765,0.6642857142857143,0.42857142857142855,0.9,3.515279095887103,0.014285714285714285
"(32, 32)",1024,0.1,24,1.0,0.6470588235294118,0.6142857142857143,0.42857142857142855,0.8,3.446873284222359,0.014285714285714285
"(32, 32)",1024,0.1,25,1.0,0.4117647058823529,0.39285714285714285,0.2857142857142857,0.5,3.8023048466030795,0.014285714285714285
"(32, 32)",1024,1.0,1,1.0,0.6111111111111112,0.6038961038961039,0.5714285714285714,0.6363636363636364,3.625023944424999,0.0
"(32, 32)",1024,1.0,2,1.0,0.7222222222222222,0.6948051948051948,0.5714285714285714,0.8181818181818182,3.276465512291996,0.0
"(32, 32)",1024,1.0,3,1.0,0.47058823529411764,0.4642857142857143,0.42857142857142855,0.5,4.034193093758504,0.014285714285714285
"(32, 32)",1024,1.0,4,1.0,0.4117647058823529,0.41428571428571426,0.42857142857142855,0.4,3.926494988514948,0.0
"(32, 32)",1024,1.0,5,1.0,0.6470588235294118,0.6357142857142857,0.5714285714285714,0.7,3.466828550219385,0.014285714285714285
"(32, 32)",1024,1.0,6,1.0,0.7222222222222222,0.7207792207792207,0.7142857142857143,0.7272727272727273,3.7202344689773055,0.0
"(32, 32)",1024,1.0,7,1.0,0.5555555555555556,0.5844155844155844,0.7142857142857143,0.45454545454545453,3.9045111905822125,0.0
"(32, 32)",1024,1.0,8,1.0,0.5882352941176471,0.6071428571428572,0.7142857142857143,0.5,3.5796120759629657,0.0
"(32, 32)",1024,1.0,9,1.0,0.4117647058823529,0.37142857142857144,0.14285714285714285,0.6,3.9753178463049865,0.0
"(32, 32)",1024,1.0,10,1.0,0.7058823529411765,0.6642857142857143,0.42857142857142855,0.9,3.4215978888569882,0.0
"(32, 32)",1024,1.0,11,1.0,0.6111111111111112,0.577922077922078,0.42857142857142855,0.7272727272727273,3.7636178827830573,0.0
"(32, 32)",1024,1.0,12,1.0,0.6111111111111112,0.577922077922078,0.42857142857142855,0.7272727272727273,3.4266287847621397,0.0
"(32, 32)",1024,1.0,13,1.0,0.5882352941176471,0.5857142857142856,0.5714285714285714,0.6,3.6976926323941983,0.014285714285714285
"(32, 32)",1024,1.0,14,1.0,0.5294117647058824,0.5357142857142857,0.5714285714285714,0.5,3.5734816157540767,0.0
"(32, 32)",1024,1.0,15,1.0,0.4117647058823529,0.37142857142857144,0.14285714285714285,0.6,3.956484440092047,0.0
"(32, 32)",1024,1.0,16,1.0,0.7222222222222222,0.6948051948051948,0.5714285714285714,0.8181818181818182,3.539363554258957,0.014492753623188406
"(32, 32)",1024,1.0,17,1.0,0.5555555555555556,0.5584415584415584,0.5714285714285714,0.5454545454545454,3.4935351884577246,0.0
"(32, 32)",1024,1.0,18,1.0,0.5882352941176471,0.6071428571428572,0.7142857142857143,0.5,3.770702718828219,0.0
"(32, 32)",1024,1.0,19,1.0,0.4117647058823529,0.4357142857142857,0.5714285714285714,0.3,3.9700300161924322,0.0
"(32, 32)",1024,1.0,20,1.0,0.4117647058823529,0.41428571428571426,0.42857142857142855,0.4,3.7200901078905164,0.0
"(32, 32)",1024,1.0,21,1.0,0.5555555555555556,0.6103896103896104,0.8571428571428571,0.36363636363636365,3.695417384738432,0.0
"(32, 32)",1024,1.0,22,1.0,0.5,0.512987012987013,0.5714285714285714,0.45454545454545453,3.8074450199181458,0.0
"(32, 32)",1024,1.0,23,1.0,0.7058823529411765,0.6642857142857143,0.42857142857142855,0.9,3.5078970412162325,0.0
"(32, 32)",1024,1.0,24,1.0,0.6470588235294118,0.6142857142857143,0.42857142857142855,0.8,3.4404953561694684,0.0
"(32, 32)",1024,1.0,25,1.0,0.4117647058823529,0.39285714285714285,0.2857142857142857,0.5,3.7950316769156593,0.0
